"Date";"Designation";"Day of the week";"Calendar week";
"01.01.2020";"New Year큦 Day";"Wed";"week 01"
"02.01.2020";"Saint Berchtold";"Thu";"week 01"
"14.02.2020";"Valentine큦 Day";"Fri";"week 07"
"29.03.2020";"DST start";"Sun";"week 13"
"05.04.2020";"Palm Sunday";"Sun";"week 14"
"10.04.2020";"Good Friday";"Fri";"week 15"
"12.04.2020";"Easter";"Sun";"week 15"
"13.04.2020";"Easter Monday";"Mon";"week 16"
"10.05.2020";"Mother's Day";"Sun";"week 19"
"21.05.2020";"Ascension Day";"Thu";"week 21"
"31.05.2020";"Whitsun";"Sun";"week 22"
"01.06.2020";"Whit Monday";"Mon";"week 23"
"07.06.2020";"Father큦 Day Switzerland";"Sun";"week 23"
"11.06.2020";"Corpus Christi";"Thu";"week 24"
"01.08.2020";"Swiss National Holiday";"Sat";"week 31"
"20.09.2020";"Federal Prayday";"Sun";"week 38"
"25.10.2020";"DST end";"Sun";"week 43"
"31.10.2020";"Reformation Day";"Sat";"week 44"
"31.10.2020";"Halloween";"Sat";"week 44"
"01.11.2020";"All Saints' Day";"Sun";"week 44"
"01.11.2020";"Reformation Sunday Switzerland";"Sun";"week 44"
"02.11.2020";"All Souls' Day";"Mon";"week 45"
"22.11.2020";"Ewigkeitssonntag";"Sun";"week 47"
"23.11.2020";"Onion Market";"Mon";"week 48"
"29.11.2020";"First Advent";"Sun";"week 48"
"06.12.2020";"Second Advent";"Sun";"week 49"
"06.12.2020";"Saint Nicholas";"Sun";"week 49"
"13.12.2020";"Third Advent";"Sun";"week 50"
"20.12.2020";"Fourth Advent";"Sun";"week 51"
"24.12.2020";"Christmas Eve";"Thu";"week 52"
"25.12.2020";"Christmas";"Fri";"week 52"
"26.12.2020";"St. Stephen큦 Day";"Sat";"week 52"
"31.12.2020";"New Year큦 Eve";"Thu";"week 53"
"01.01.2021";"New Year큦 Day";"Fri";"week 53"
"02.01.2021";"Saint Berchtold";"Sat";"week 53"
"14.02.2021";"Valentine큦 Day";"Sun";"week 06"
"28.03.2021";"Palm Sunday";"Sun";"week 12"
"28.03.2021";"DST start";"Sun";"week 12"
"02.04.2021";"Good Friday";"Fri";"week 13"
"04.04.2021";"Easter";"Sun";"week 13"
"05.04.2021";"Easter Monday";"Mon";"week 14"
"09.05.2021";"Mother's Day";"Sun";"week 18"
"13.05.2021";"Ascension Day";"Thu";"week 19"
"23.05.2021";"Whitsun";"Sun";"week 20"
"24.05.2021";"Whit Monday";"Mon";"week 21"
"03.06.2021";"Corpus Christi";"Thu";"week 22"
"06.06.2021";"Father큦 Day Switzerland";"Sun";"week 22"
"01.08.2021";"Swiss National Holiday";"Sun";"week 30"
"19.09.2021";"Federal Prayday";"Sun";"week 37"
"31.10.2021";"Reformation Day";"Sun";"week 43"
"31.10.2021";"DST end";"Sun";"week 43"
"31.10.2021";"Halloween";"Sun";"week 43"
"01.11.2021";"All Saints' Day";"Mon";"week 44"
"02.11.2021";"All Souls' Day";"Tue";"week 44"
"07.11.2021";"Reformation Sunday Switzerland";"Sun";"week 44"
"21.11.2021";"Ewigkeitssonntag";"Sun";"week 46"
"22.11.2021";"Onion Market";"Mon";"week 47"
"28.11.2021";"First Advent";"Sun";"week 47"
"05.12.2021";"Second Advent";"Sun";"week 48"
"06.12.2021";"Saint Nicholas";"Mon";"week 49"
"12.12.2021";"Third Advent";"Sun";"week 49"
"19.12.2021";"Fourth Advent";"Sun";"week 50"
"24.12.2021";"Christmas Eve";"Fri";"week 51"
"25.12.2021";"Christmas";"Sat";"week 51"
"26.12.2021";"St. Stephen큦 Day";"Sun";"week 51"
"31.12.2021";"New Year큦 Eve";"Fri";"week 52"
"01.01.2022";"New Year큦 Day";"Sat";"week 52"
"02.01.2022";"Saint Berchtold";"Sun";"week 52"
"14.02.2022";"Valentine큦 Day";"Mon";"week 07"
"27.03.2022";"DST start";"Sun";"week 12"
"10.04.2022";"Palm Sunday";"Sun";"week 14"
"15.04.2022";"Good Friday";"Fri";"week 15"
"17.04.2022";"Easter";"Sun";"week 15"
"18.04.2022";"Easter Monday";"Mon";"week 16"
"08.05.2022";"Mother's Day";"Sun";"week 18"
"26.05.2022";"Ascension Day";"Thu";"week 21"
"05.06.2022";"Whitsun";"Sun";"week 22"
"05.06.2022";"Father큦 Day Switzerland";"Sun";"week 22"
"06.06.2022";"Whit Monday";"Mon";"week 23"
"16.06.2022";"Corpus Christi";"Thu";"week 24"
"01.08.2022";"Swiss National Holiday";"Mon";"week 31"
"18.09.2022";"Federal Prayday";"Sun";"week 37"
"30.10.2022";"DST end";"Sun";"week 43"
"31.10.2022";"Reformation Day";"Mon";"week 44"
"31.10.2022";"Halloween";"Mon";"week 44"
"01.11.2022";"All Saints' Day";"Tue";"week 44"
"02.11.2022";"All Souls' Day";"Wed";"week 44"
"06.11.2022";"Reformation Sunday Switzerland";"Sun";"week 44"
"20.11.2022";"Ewigkeitssonntag";"Sun";"week 46"
"27.11.2022";"First Advent";"Sun";"week 47"
"28.11.2022";"Onion Market";"Mon";"week 48"
"04.12.2022";"Second Advent";"Sun";"week 48"
"06.12.2022";"Saint Nicholas";"Tue";"week 49"
"11.12.2022";"Third Advent";"Sun";"week 49"
"18.12.2022";"Fourth Advent";"Sun";"week 50"
"24.12.2022";"Christmas Eve";"Sat";"week 51"
"25.12.2022";"Christmas";"Sun";"week 51"
"26.12.2022";"St. Stephen큦 Day";"Mon";"week 52"
"31.12.2022";"New Year큦 Eve";"Sat";"week 52"
